hotel_name,destination_city,area,price_per_stay,rating_score,stars,breakfast,distance,description,reviews,guest_reviews
Amigo Hotel,Amsterdam,Oost,127,5.7,0,,3 km from center,Bed in 8-Bed Dormitory Room,"2,255 reviews",
Via Amsterdam,Amsterdam,Bijlmermeer,132,8.0,3,,6.6 km from center,Bed in 8-Bed Mixed Dormitory Room,"9,383 reviews",
International Budget Hostel City Center,Amsterdam,Amsterdam City Center,215,6.6,0,,1.1 km from center,Single Bed in 8-Bed Dormitory Room,"1,358 reviews",
Botel,Amsterdam,Amsterdam Noord,233,7.4,3,,3.1 km from center,Bed in 8-Bed Mixed Dormitory Room,"5,316 reviews",
Generator Amsterdam,Amsterdam,Oost,234,7.8,3,,2.2 km from center,Bed in 6-Bed Dormitory Room,"2,471 reviews",
Stayokay Hostel Amsterdam Oost,Amsterdam,Zeeburg,238,8.2,0,,3 km from center,Bed in 8-Bed Mixed Room,"2,445 reviews",
Stayokay Hostel Amsterdam Vondelpark,Amsterdam,Oud West,260,8.5,0,,1.7 km from center,Bed in 10+ Bed Mixed Room with Shower,"2,816 reviews",Location 9.3
Durty Nelly's Inn,Amsterdam,Amsterdam City Center,264,8.2,0,,250 m from center,Bed in 12-Bed Mixed Dormitory,"3,174 reviews",Location 9.5
Budget Hotel Tourist Inn,Amsterdam,Amsterdam City Center,279,7.6,2,Breakfast included,350 m from center,One Bed in a Dormitory,"3,032 reviews",Location 9.3
Dam Hotel,Amsterdam,Amsterdam City Center,284,6.1,2,,450 m from center,Bed in 10-Bed Mixed Dormitory Room,"1,272 reviews",
Heart of Amsterdam Hotel,Amsterdam,Amsterdam City Center,299,7.1,0,,300 m from center,Bed in 12-Bed Mixed Dormitory Room,"1,645 reviews",
Hotel Levell,Amsterdam,Zuidoost,394,8.2,3,,8.6 km from center,Twin Room,"7,199 reviews",
Felicitas,Amsterdam,Amsterdam City Center,414,8.1,0,Breakfast included,1.2 km from center,Single Room with Private Bathroom,"1,218 reviews",
Hotel Washington,Amsterdam,Oud Zuid,422,7.4,2,,2.1 km from center,Single Room,"1,466 reviews",
easyHotel Amsterdam Arena Boulevard,Amsterdam,Zuidoost,432,7.4,2,,7.5 km from center,Twin Room,"5,308 reviews",
De Mallemoolen,Amsterdam,Amsterdam City Center,436,6.9,0,Breakfast included,0.6 km from center,Basic Single Room with Shared Bathroom,654 reviews,Location 9.3
Hotel New Kit,Amsterdam,Geuzenveld-Slotermeer,439,7.9,3,,3.8 km from center,Single Room,"3,316 reviews",
The Concert Hotel,Amsterdam,Oud Zuid,457,7.8,3,,2.3 km from center,Single Room,"1,546 reviews",
