departure_city,destination_city,departure_airport,arrival_airport,destination_country_code,price,duration_minutes,flights_per_day,flights_per_week,first_flight,last_flight
Copenhagen,Aalborg,CPH,AAL,DK,40,50,5-15 flights,87,5/1/2018,4/9/2027
Naples,Aalborg,NAP,AAL,DK,50,180,0-1 flights,1,4/4/2023,10/15/2026
Palma de Mallorca,Aalborg,PMI,AAL,DK,100,185,0-1 flights,2,3/27/2018,4/9/2027
Oslo,Aalborg,OSL,AAL,DK,100,60,0-1 flights,6,6/15/2022,9/15/2026
Nice,Aalborg,NCE,AAL,DK,120,150,0-1 flights,2,6/26/2019,4/5/2026
Malaga,Aalborg,AGP,AAL,DK,120,215,0-1 flights,3,4/8/2018,4/8/2027
Antalya,Aalborg,AYT,AAL,DK,140,250,0-1 flights,2,3/25/2018,11/1/2025
Amsterdam,Aalborg,AMS,AAL,DK,180,75,4 flights,28,0,4/9/2027
Alicante,Aalborg,ALC,AAL,DK,180,195,0-1 flights,2,3/25/2018,10/15/2026
Vagar,Aalborg,FAE,AAL,DK,620,105,0-1 flights,2,12/19/2017,10/15/2026
Gdansk,Aalesund,GDN,AES,NO,30,120,0-1 flights,5,0,11/2/2026
Oslo,Aalesund,OSL,AES,NO,60,55,3-7 flights,44,0,4/9/2027
Bergen,Aalesund,BGO,AES,NO,80,50,3-6 flights,34,9/15/2023,10/15/2026
London,Aalesund,LGW,AES,NO,110,130,0-1 flights,2,4/11/2025,10/15/2026
Trondheim,Aalesund,TRD,AES,NO,120,50,0-2 flights,12,6/17/2018,9/15/2026
Alicante,Aalesund,ALC,AES,NO,170,235,0-1 flights,1,9/15/2018,4/9/2027
Copenhagen,Aalesund,CPH,AES,NO,170,95,0-1 flights,5,6/24/2018,10/15/2026
Amsterdam,Aalesund,AMS,AES,NO,190,120,1-2 flights,13,8/3/2020,4/4/2027
Gdansk,Aarhus,GDN,AAR,DK,10,75,0-1 flights,4,8/16/2020,4/15/2026
Riga,Aarhus,RIX,AAR,DK,20,95,0-1 flights,2,3/26/2023,11/6/2026
London,Aarhus,STN,AAR,DK,30,105,0-1 flights,4,0,11/6/2026
Malaga,Aarhus,AGP,AAR,DK,40,220,0-1 flights,4,3/24/2018,11/5/2026
